Seat Occupy,8,1.49026465E12,1.50042562E12
Seat Occupy,0,1.49026465E12,1.50042929E12
Brightness,1,1.50042404E12,1.54097641E12
Seat Occupy,7,1.50042404E12,1.50042732E12
Sound,31,1.50042404E12,1.50042431E12
Seat Occupy,5,1.50042418E12,1.50042457E12
Seat Occupy,4,1.50042418E12,1.50042942E12
Seat Occupy,6,1.50042418E12,1.50042942E12
Projector,0,1.50042418E12,1.50042955E12
Seat Occupy,11,1.50042431E12,1.50042457E12
Seat Occupy,2,1.50042431E12,1.50042457E12
Seat Occupy,1,1.50042431E12,1.50042483E12
Sound,32,1.50042431E12,1.50042562E12
Light,2,1.50042444E12,1.54097641E12
Seat Occupy,11,1.50042457E12,1.50042483E12
Seat Occupy,9,1.50042457E12,1.50042562E12
Seat Occupy,2,1.50042457E12,1.50042706E12
Seat Occupy,5,1.50042457E12,1.50042719E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Existence,0,1.50042483E12,1.50042955E12
Seat Occupy,1,1.50042483E12,1.50042509E12
Seat Occupy,11,1.50042483E12,1.50042509E12
Seat Occupy,10,1.50042483E12,1.50042955E12
Seat Occupy,11,1.50042509E12,1.50042562E12
Seat Occupy,1,1.50042522E12,1.50042916E12
Seat Occupy,11,1.50042562E12,1.50042588E12
Seat Occupy,9,1.50042562E12,1.50042653E12
Sound,31,1.50042562E12,1.54097641E12
Seat Occupy,11,1.50042588E12,1.50042614E12
Seat Occupy,11,1.5004264E12,1.50042667E12
Seat Occupy,9,1.50042653E12,1.5004268E12
Seat Occupy,9,1.5004268E12,1.50042732E12
Seat Occupy,11,1.50042706E12,1.50042732E12
Seat Occupy,2,1.50042706E12,1.50042732E12
Seat Occupy,5,1.50042719E12,1.50042929E12
Seat Occupy,11,1.50042732E12,1.50042758E12
Seat Occupy,9,1.50042732E12,1.50042758E12
Seat Occupy,7,1.50042732E12,1.50042785E12
Seat Occupy,2,1.50042745E12,1.50042876E12
Seat Occupy,11,1.50042758E12,1.50042798E12
Seat Occupy,9,1.50042771E12,1.50042798E12
Seat Occupy,9,1.50042798E12,1.50042837E12
Seat Occupy,11,1.50042811E12,1.50042837E12
Seat Occupy,11,1.50042837E12,1.50042863E12
Seat Occupy,9,1.50042837E12,1.50042903E12
Seat Occupy,11,1.50042863E12,1.50042889E12
Seat Occupy,11,1.50042889E12,1.50042916E12
Seat Occupy,2,1.50042889E12,1.50042942E12
Seat Occupy,9,1.50042903E12,1.50042955E12
Seat Occupy,1,1.50042916E12,1.50042942E12
Seat Occupy,11,1.50042929E12,1.50042955E12
Seat Occupy,5,1.50042929E12,1.54097641E12
Seat Occupy,2,1.50042942E12,1.54097641E12
