Seat Occupy,10,1.49026465E12,1.49087047E12
Seat Occupy,4,1.49026465E12,1.49087047E12
Seat Occupy,11,1.49026465E12,1.49087047E12
Seat Occupy,9,1.49026465E12,1.49087099E12
Seat Occupy,3,1.49026465E12,1.49087165E12
Seat Occupy,6,1.49026465E12,1.49087204E12
Seat Occupy,8,1.49087008E12,1.49087086E12
Sound,12,1.49087008E12,1.49087021E12
Sound,11,1.49087021E12,1.49087086E12
Light,2,1.49087073E12,1.49087191E12
Light,1,1.49087073E12,1.53984605E12
Light,3,1.49087073E12,1.53984605E12
Seat Occupy,8,1.49087086E12,1.49087139E12
Sound,12,1.49087086E12,1.49087099E12
Sound,11,1.49087099E12,1.49087112E12
Sound,12,1.49087112E12,1.49087126E12
Sound,11,1.49087126E12,1.49087152E12
Seat Occupy,8,1.49087139E12,1.49087178E12
Sound,12,1.49087152E12,1.49087178E12
Seat Occupy,3,1.49087165E12,1.53984605E12
Seat Occupy,8,1.49087178E12,1.49087204E12
Sound,11,1.49087178E12,1.49087191E12
Sound,11,1.49087191E12,1.53984605E12
